Tanggal,Waktu,Suhu (C),Suhu (F),Kelembaban,Heat Index (C),Heat Index (F)
24/09/2023,16.05.29,28.90,84.02,67.00,31.98,89.57
24/09/2023,16.06.44,28.90,84.02,68.00,32.16,89.88
24/09/2023,16.07.59,28.90,84.02,68.00,32.16,89.88
24/09/2023,16.09.14,28.90,84.02,67.00,31.98,89.57
24/09/2023,16.10.29,28.90,84.02,67.00,31.98,89.57
24/09/2023,16.11.44,28.90,84.02,67.00,31.98,89.57
24/09/2023,16.13.00,28.90,84.02,67.00,31.98,89.57
24/09/2023,16.14.15,28.90,84.02,67.00,31.98,89.57
24/09/2023,16.15.33,28.90,84.02,67.00,31.98,89.57
24/09/2023,16.16.51,28.90,84.02,67.00,31.98,89.57
24/09/2023,16.18.05,28.90,84.02,68.00,32.16,89.88
24/09/2023,16.19.21,28.90,84.02,68.00,32.16,89.88
24/09/2023,16.20.36,28.90,84.02,68.00,32.16,89.88
24/09/2023,16.21.52,28.90,84.02,68.00,32.16,89.88
24/09/2023,16.23.08,28.90,84.02,68.00,32.16,89.88
24/09/2023,16.24.25,28.90,84.02,68.00,32.16,89.88
24/09/2023,16.25.41,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.26.56,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.28.12,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.29.29,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.30.45,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.31.59,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.33.14,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.34.29,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.35.44,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.36.59,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.38.15,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.39.30,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.40.45,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.42.00,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.43.14,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.44.30,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.45.46,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.47.01,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.48.17,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.49.32,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.50.49,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.52.04,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.53.19,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.54.34,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.55.49,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.57.04,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.58.22,28.50,83.30,68.00,31.35,88.44
24/09/2023,16.59.36,28.90,84.02,68.00,32.16,89.88
24/09/2023,17.00.52,28.90,84.02,68.00,32.16,89.88
24/09/2023,17.02.07,28.90,84.02,68.00,32.16,89.88
24/09/2023,17.03.22,28.90,84.02,68.00,32.16,89.88
24/09/2023,17.04.37,28.90,84.02,68.00,32.16,89.88
24/09/2023,17.05.52,28.90,84.02,68.00,32.16,89.88
24/09/2023,17.07.07,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.08.22,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.09.36,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.10.52,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.12.07,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.13.23,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.14.39,28.90,84.02,68.00,32.16,89.88
24/09/2023,17.15.54,28.60,83.48,68.00,31.55,88.79
24/09/2023,17.17.09,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.18.24,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.19.40,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.20.55,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.22.11,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.23.26,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.24.40,28.50,83.30,69.00,31.51,88.72
24/09/2023,17.25.55,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.27.13,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.28.28,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.29.43,28.50,83.30,68.00,31.35,88.44
24/09/2023,17.30.57,28.50,83.30,69.00,31.51,88.72
24/09/2023,17.32.12,28.50,83.30,69.00,31.51,88.72
24/09/2023,17.33.27,28.50,83.30,69.00,31.51,88.72
24/09/2023,17.34.43,28.50,83.30,69.00,31.51,88.72
24/09/2023,17.35.58,28.50,83.30,69.00,31.51,88.72
24/09/2023,17.37.13,28.20,82.76,69.00,30.92,87.65
24/09/2023,17.38.27,28.50,83.30,69.00,31.51,88.72
24/09/2023,17.39.44,28.50,83.30,69.00,31.51,88.72
24/09/2023,17.40.59,28.50,83.30,69.00,31.51,88.72
24/09/2023,17.42.14,28.00,82.40,69.00,30.53,86.96
24/09/2023,17.43.29,28.50,83.30,69.00,31.51,88.72
25/09/2023,15.15.38,31.30,88.34,58.00,34.97,94.95
25/09/2023,15.16.55,31.30,88.34,58.00,34.97,94.95
25/09/2023,15.18.13,31.80,89.24,57.00,35.76,96.38
25/09/2023,15.19.28,31.80,89.24,57.00,35.76,96.38
25/09/2023,15.20.51,31.30,88.34,57.00,34.72,94.50
25/09/2023,15.22.15,31.30,88.34,58.00,34.97,94.95
25/09/2023,15.23.31,31.00,87.80,58.00,34.36,93.84
25/09/2023,15.24.47,30.80,87.44,59.00,34.19,93.54
25/09/2023,15.26.03,30.80,87.44,59.00,34.19,93.54
25/09/2023,15.27.28,30.80,87.44,59.00,34.19,93.54
25/09/2023,15.28.52,30.80,87.44,59.00,34.19,93.54
25/09/2023,15.30.13,30.20,86.36,59.00,33.01,91.42
25/09/2023,15.31.32,30.20,86.36,59.00,33.01,91.42
25/09/2023,15.32.49,30.20,86.36,60.00,33.22,91.79
25/09/2023,15.35.58,30.60,87.08,60.00,34.01,93.23
25/09/2023,15.37.13,30.20,86.36,60.00,33.22,91.79
25/09/2023,15.38.28,30.20,86.36,60.00,33.22,91.79
25/09/2023,15.41.00,30.20,86.36,60.00,33.22,91.79
25/09/2023,15.42.15,30.80,87.44,60.00,34.43,93.97
25/09/2023,15.43.30,30.20,86.36,61.00,33.43,92.17
25/09/2023,15.44.46,30.20,86.36,61.00,33.43,92.17
25/09/2023,15.46.03,30.20,86.36,60.00,33.22,91.79
25/09/2023,15.49.53,30.20,86.36,61.00,33.43,92.17
25/09/2023,15.51.09,30.20,86.36,61.00,33.43,92.17
25/09/2023,15.52.26,30.20,86.36,61.00,33.43,92.17
25/09/2023,15.53.42,30.20,86.36,61.00,33.43,92.17
25/09/2023,15.54.56,30.20,86.36,61.00,33.43,92.17
25/09/2023,15.56.12,30.20,86.36,61.00,33.43,92.17
25/09/2023,15.57.32,30.20,86.36,61.00,33.43,92.17
25/09/2023,15.58.49,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.00.05,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.01.21,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.02.37,30.20,86.36,62.00,33.64,92.56
25/09/2023,16.03.56,30.80,87.44,61.00,34.67,94.40
25/09/2023,16.05.13,30.20,86.36,62.00,33.64,92.56
25/09/2023,16.06.28,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.07.48,30.20,86.36,62.00,33.64,92.56
25/09/2023,16.09.05,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.10.27,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.11.49,30.20,86.36,62.00,33.64,92.56
25/09/2023,16.13.07,30.20,86.36,62.00,33.64,92.56
25/09/2023,16.14.31,29.80,85.64,63.00,33.04,91.48
25/09/2023,16.15.53,29.80,85.64,63.00,33.04,91.48
25/09/2023,16.17.23,29.80,85.64,63.00,33.04,91.48
25/09/2023,16.19.52,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.21.09,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.22.25,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.23.45,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.25.04,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.26.29,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.27.51,29.80,85.64,63.00,33.04,91.48
25/09/2023,16.30.25,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.34.58,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.36.19,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.37.37,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.38.59,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.40.28,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.41.59,30.80,87.44,61.00,34.67,94.40
25/09/2023,16.43.18,30.80,87.44,60.00,34.43,93.97
25/09/2023,16.44.35,30.80,87.44,60.00,34.43,93.97
25/09/2023,16.45.53,30.80,87.44,60.00,34.43,93.97
25/09/2023,16.50.56,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.53.28,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.54.43,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.57.16,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.58.32,30.20,86.36,61.00,33.43,92.17
25/09/2023,16.59.47,30.20,86.36,61.00,33.43,92.17
25/09/2023,17.04.50,30.20,86.36,61.00,33.43,92.17
25/09/2023,17.07.20,30.20,86.36,61.00,33.43,92.17
25/09/2023,17.08.35,30.20,86.36,61.00,33.43,92.17
25/09/2023,17.09.49,30.20,86.36,61.00,33.43,92.17
25/09/2023,17.11.04,30.20,86.36,61.00,33.43,92.17
25/09/2023,17.12.28,30.20,86.36,61.00,33.43,92.17
25/09/2023,17.16.23,30.20,86.36,61.00,33.43,92.17
25/09/2023,17.17.38,30.20,86.36,62.00,33.64,92.56
25/09/2023,17.18.52,30.20,86.36,61.00,33.43,92.17
25/09/2023,17.20.07,30.20,86.36,62.00,33.64,92.56
25/09/2023,17.21.22,30.20,86.36,62.00,33.64,92.56
25/09/2023,17.22.36,30.20,86.36,62.00,33.64,92.56
25/09/2023,17.23.51,30.20,86.36,62.00,33.64,92.56
25/09/2023,17.25.06,29.80,85.64,63.00,33.04,91.48
25/09/2023,17.26.21,29.80,85.64,63.00,33.04,91.48
25/09/2023,17.27.36,29.80,85.64,64.00,33.25,91.84
25/09/2023,17.28.51,29.80,85.64,64.00,33.25,91.84
25/09/2023,17.30.06,29.80,85.64,64.00,33.25,91.84
25/09/2023,17.31.22,29.80,85.64,64.00,33.25,91.84
25/09/2023,17.33.57,29.80,85.64,64.00,33.25,91.84
25/09/2023,17.35.12,29.80,85.64,64.00,33.25,91.84
25/09/2023,17.36.27,29.80,85.64,64.00,33.25,91.84
25/09/2023,17.37.42,29.80,85.64,64.00,33.25,91.84
25/09/2023,17.38.28,29.30,84.74,65.00,32.43,90.37
25/09/2023,17.39.46,29.30,84.74,65.00,32.43,90.37
25/09/2023,17.41.05,29.30,84.74,65.00,32.43,90.37
25/09/2023,17.47.25,29.30,84.74,66.00,32.61,90.71
25/09/2023,17.48.40,29.00,84.20,66.00,32.01,89.62
25/09/2023,17.49.55,28.90,84.02,66.00,31.81,89.27
25/09/2023,17.51.10,28.90,84.02,66.00,31.81,89.27
25/09/2023,17.52.25,29.00,84.20,66.00,32.01,89.62
25/09/2023,17.53.40,29.20,84.56,66.00,32.41,90.34
25/09/2023,17.54.55,28.90,84.02,66.00,31.81,89.27
25/09/2023,17.56.10,28.90,84.02,66.00,31.81,89.27
25/09/2023,17.57.25,28.90,84.02,66.00,31.81,89.27
25/09/2023,17.58.40,28.90,84.02,66.00,31.81,89.27
25/09/2023,17.59.54,28.90,84.02,67.00,31.98,89.57
26/09/2023,14.59.59,28.00,82.40,68.00,30.41,86.73
26/09/2023,15.01.15,29.80,85.64,64.00,33.25,91.84
26/09/2023,15.02.31,29.80,85.64,64.00,33.25,91.84
26/09/2023,15.03.48,29.80,85.64,64.00,33.25,91.84
26/09/2023,15.05.04,29.80,85.64,63.00,33.04,91.48
26/09/2023,15.06.21,29.80,85.64,63.00,33.04,91.48
26/09/2023,15.07.36,29.80,85.64,63.00,33.04,91.48
26/09/2023,15.08.51,29.80,85.64,63.00,33.04,91.48
26/09/2023,15.10.07,29.80,85.64,63.00,33.04,91.48
26/09/2023,15.11.24,29.80,85.64,63.00,33.04,91.48
26/09/2023,15.12.40,29.80,85.64,63.00,33.04,91.48
26/09/2023,15.13.59,29.80,85.64,63.00,33.04,91.48
26/09/2023,15.15.23,29.80,85.64,64.00,33.25,91.84
26/09/2023,15.16.38,29.80,85.64,63.00,33.04,91.48
26/09/2023,15.17.53,29.80,85.64,63.00,33.04,91.48
26/09/2023,15.19.09,29.30,84.74,63.00,32.07,89.72
26/09/2023,15.20.26,29.30,84.74,63.00,32.07,89.72
26/09/2023,15.21.45,29.80,85.64,63.00,33.04,91.48
26/09/2023,15.23.01,29.30,84.74,63.00,32.07,89.72
26/09/2023,15.24.16,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.25.30,29.40,84.92,64.00,32.44,90.39
26/09/2023,15.26.47,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.28.02,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.29.17,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.30.32,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.31.47,29.30,84.74,63.00,32.07,89.72
26/09/2023,15.33.02,29.30,84.74,63.00,32.07,89.72
26/09/2023,15.34.17,29.40,84.92,63.00,32.26,90.06
26/09/2023,15.35.33,29.30,84.74,63.00,32.07,89.72
26/09/2023,15.36.47,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.38.02,29.30,84.74,63.00,32.07,89.72
26/09/2023,15.39.16,29.30,84.74,63.00,32.07,89.72
26/09/2023,15.40.34,29.30,84.74,63.00,32.07,89.72
26/09/2023,15.41.49,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.43.05,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.44.22,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.45.37,29.30,84.74,63.00,32.07,89.72
26/09/2023,15.46.52,29.30,84.74,63.00,32.07,89.72
26/09/2023,15.48.07,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.49.23,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.50.37,29.30,84.74,63.00,32.07,89.72
26/09/2023,15.51.52,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.53.08,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.54.22,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.55.37,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.56.52,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.58.07,29.30,84.74,64.00,32.25,90.04
26/09/2023,15.59.21,29.30,84.74,64.00,32.25,90.04
26/09/2023,16.00.36,29.30,84.74,64.00,32.25,90.04
26/09/2023,16.01.51,29.30,84.74,64.00,32.25,90.04
26/09/2023,16.03.05,29.30,84.74,64.00,32.25,90.04
26/09/2023,16.04.20,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.05.34,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.06.49,29.30,84.74,64.00,32.25,90.04
26/09/2023,16.08.03,29.30,84.74,64.00,32.25,90.04
26/09/2023,16.09.18,29.30,84.74,64.00,32.25,90.04
26/09/2023,16.10.32,29.30,84.74,64.00,32.25,90.04
26/09/2023,16.11.47,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.13.03,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.14.18,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.15.32,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.16.47,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.18.02,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.19.17,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.20.32,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.21.46,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.23.01,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.24.16,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.25.30,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.26.45,29.30,84.74,66.00,32.61,90.71
26/09/2023,16.28.02,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.29.17,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.30.32,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.31.49,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.33.04,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.46.17,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.51.22,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.52.37,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.53.54,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.55.10,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.56.25,29.30,84.74,65.00,32.43,90.37
26/09/2023,16.57.40,29.30,84.74,66.00,32.61,90.71
26/09/2023,16.58.56,29.30,84.74,65.00,32.43,90.37
26/09/2023,17.00.11,29.30,84.74,65.00,32.43,90.37
26/09/2023,17.01.26,29.30,84.74,65.00,32.43,90.37
26/09/2023,17.02.42,29.30,84.74,65.00,32.43,90.37
26/09/2023,17.03.58,29.30,84.74,65.00,32.43,90.37
26/09/2023,17.05.14,29.30,84.74,65.00,32.43,90.37
26/09/2023,17.06.29,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.07.45,29.30,84.74,65.00,32.43,90.37
26/09/2023,17.09.00,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.10.15,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.11.31,29.00,84.20,66.00,32.01,89.62
26/09/2023,17.12.46,28.90,84.02,65.00,31.65,88.97
26/09/2023,17.14.01,28.90,84.02,65.00,31.65,88.97
26/09/2023,17.15.18,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.16.33,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.17.49,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.19.04,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.20.19,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.21.34,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.22.49,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.24.05,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.25.20,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.26.36,28.90,84.02,67.00,31.98,89.57
26/09/2023,17.27.51,28.90,84.02,67.00,31.98,89.57
26/09/2023,17.29.06,28.90,84.02,67.00,31.98,89.57
26/09/2023,17.30.21,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.31.36,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.32.52,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.34.07,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.35.23,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.36.37,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.37.53,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.39.12,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.40.28,28.90,84.02,66.00,31.81,89.27
26/09/2023,17.41.43,28.90,84.02,66.00,31.81,89.27
29/09/2023,14.59.56,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.01.20,30.20,86.36,63.00,33.86,92.96
29/09/2023,15.02.39,30.20,86.36,62.00,33.64,92.56
29/09/2023,15.04.01,29.80,85.64,64.00,33.25,91.84
29/09/2023,15.05.19,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.06.39,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.08.00,29.80,85.64,64.00,33.25,91.84
29/09/2023,15.09.25,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.11.52,30.20,86.36,64.00,34.09,93.36
29/09/2023,15.17.09,30.20,86.36,62.00,33.64,92.56
29/09/2023,15.21.47,30.20,86.36,63.00,33.86,92.96
29/09/2023,15.23.06,29.80,85.64,64.00,33.25,91.84
29/09/2023,15.24.23,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.25.44,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.27.09,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.28.25,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.29.41,29.90,85.82,65.00,33.67,92.60
29/09/2023,15.31.01,30.20,86.36,64.00,34.09,93.36
29/09/2023,15.32.19,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.33.39,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.34.55,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.36.14,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.37.31,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.38.49,29.80,85.64,64.00,33.25,91.84
29/09/2023,15.40.09,29.80,85.64,64.00,33.25,91.84
29/09/2023,15.41.26,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.42.43,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.44.03,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.45.24,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.46.40,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.48.00,29.80,85.64,64.00,33.25,91.84
29/09/2023,15.49.16,29.80,85.64,64.00,33.25,91.84
29/09/2023,15.50.33,29.80,85.64,64.00,33.25,91.84
29/09/2023,15.51.57,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.53.12,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.54.28,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.55.43,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.57.04,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.58.26,29.80,85.64,65.00,33.45,92.22
29/09/2023,15.59.42,29.80,85.64,65.00,33.45,92.22
29/09/2023,16.00.59,29.80,85.64,65.00,33.45,92.22
29/09/2023,16.03.36,29.80,85.64,64.00,33.25,91.84
29/09/2023,16.04.51,29.80,85.64,64.00,33.25,91.84
29/09/2023,16.06.07,29.80,85.64,65.00,33.45,92.22
29/09/2023,16.07.22,29.80,85.64,65.00,33.45,92.22
29/09/2023,16.08.38,29.80,85.64,65.00,33.45,92.22
29/09/2023,16.09.55,29.80,85.64,65.00,33.45,92.22
29/09/2023,16.11.11,29.80,85.64,65.00,33.45,92.22
29/09/2023,16.12.26,29.80,85.64,65.00,33.45,92.22
29/09/2023,16.13.55,29.80,85.64,65.00,33.45,92.22
29/09/2023,16.15.12,29.70,85.46,65.00,33.24,91.84
29/09/2023,16.16.27,29.40,84.92,65.00,32.63,90.73
29/09/2023,16.17.44,29.80,85.64,65.00,33.45,92.22
29/09/2023,16.19.04,29.80,85.64,65.00,33.45,92.22
29/09/2023,16.20.19,29.80,85.64,65.00,33.45,92.22
29/09/2023,16.21.34,29.80,85.64,65.00,33.45,92.22
29/09/2023,16.22.49,29.80,85.64,65.00,33.45,92.22
29/09/2023,16.24.04,29.80,85.64,65.00,33.45,92.22
29/09/2023,16.25.19,29.50,85.10,65.00,32.83,91.10
29/09/2023,16.26.34,29.40,84.92,65.00,32.63,90.73
29/09/2023,16.27.52,29.30,84.74,66.00,32.61,90.71
29/09/2023,16.29.10,29.30,84.74,66.00,32.61,90.71
29/09/2023,16.30.32,29.30,84.74,66.00,32.61,90.71
29/09/2023,16.31.57,29.30,84.74,66.00,32.61,90.71
29/09/2023,16.33.23,29.30,84.74,66.00,32.61,90.71
29/09/2023,16.36.10,29.30,84.74,66.00,32.61,90.71
29/09/2023,16.39.00,29.30,84.74,66.00,32.61,90.71
29/09/2023,16.41.45,29.30,84.74,66.00,32.61,90.71
29/09/2023,16.43.20,29.60,85.28,66.00,33.24,91.83
29/09/2023,16.53.39,29.30,84.74,66.00,32.61,90.71
29/09/2023,16.55.02,29.30,84.74,66.00,32.61,90.71
29/09/2023,16.56.20,29.30,84.74,66.00,32.61,90.71
29/09/2023,16.57.41,29.30,84.74,66.00,32.61,90.71
29/09/2023,17.14.08,29.30,84.74,66.00,32.61,90.71
29/09/2023,17.15.29,29.30,84.74,66.00,32.61,90.71
29/09/2023,17.18.32,29.30,84.74,66.00,32.61,90.71
29/09/2023,17.22.09,29.30,84.74,66.00,32.61,90.71
29/09/2023,17.23.23,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.24.39,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.25.58,29.30,84.74,66.00,32.61,90.71
29/09/2023,17.27.14,29.30,84.74,66.00,32.61,90.71
29/09/2023,17.28.29,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.29.55,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.31.14,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.32.29,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.33.44,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.35.03,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.36.19,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.37.37,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.38.54,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.40.09,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.41.34,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.42.59,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.44.17,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.45.40,29.30,84.74,66.00,32.61,90.71
29/09/2023,17.48.27,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.49.38,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.51.02,29.30,84.74,67.00,32.80,91.05
29/09/2023,17.52.17,29.30,84.74,67.00,32.80,91.05
30/09/2023,14.59.49,29.30,84.74,67.00,32.80,91.05
30/09/2023,15.01.04,30.20,86.36,60.00,33.22,91.79
30/09/2023,15.02.19,30.20,86.36,60.00,33.22,91.79
30/09/2023,15.03.36,30.20,86.36,60.00,33.22,91.79
30/09/2023,15.04.52,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.06.09,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.07.24,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.08.40,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.09.54,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.11.12,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.12.29,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.13.44,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.14.59,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.16.24,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.17.41,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.20.18,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.21.36,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.23.01,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.26.19,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.27.37,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.29.07,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.30.26,30.20,86.36,61.00,33.43,92.17
30/09/2023,15.31.43,30.20,86.36,61.00,33.43,92.17
